,date,bitcoin_unscaled,bitcoin_monthly,isPartial,scale,bitcoin
0,2015-01-01,50,3.0,False,0.03,1.5
1,2015-01-02,50,3.0,,0.03,1.5
2,2015-01-03,55,3.0,,0.03,1.65
3,2015-01-04,69,3.0,,0.03,2.07
4,2015-01-05,67,3.0,,0.03,2.01
5,2015-01-06,74,3.0,,0.03,2.2199999999999998
6,2015-01-07,54,3.0,,0.03,1.6199999999999999
7,2015-01-08,61,3.0,,0.03,1.8299999999999998
8,2015-01-09,56,3.0,,0.03,1.68
9,2015-01-10,55,3.0,,0.03,1.65
10,2015-01-11,50,3.0,,0.03,1.5
11,2015-01-12,47,3.0,,0.03,1.41
12,2015-01-13,64,3.0,,0.03,1.92
13,2015-01-14,100,3.0,,0.03,3.0
14,2015-01-15,84,3.0,,0.03,2.52
15,2015-01-16,70,3.0,,0.03,2.1
16,2015-01-17,58,3.0,,0.03,1.74
17,2015-01-18,54,3.0,,0.03,1.6199999999999999
18,2015-01-19,50,3.0,,0.03,1.5
19,2015-01-20,53,3.0,,0.03,1.5899999999999999
20,2015-01-21,60,3.0,,0.03,1.7999999999999998
21,2015-01-22,51,3.0,,0.03,1.53
22,2015-01-23,52,3.0,,0.03,1.56
23,2015-01-24,52,3.0,,0.03,1.56
24,2015-01-25,56,3.0,,0.03,1.68
25,2015-01-26,81,3.0,,0.03,2.4299999999999997
26,2015-01-27,64,3.0,,0.03,1.92
27,2015-01-28,61,3.0,,0.03,1.8299999999999998
28,2015-01-29,58,3.0,,0.03,1.74
29,2015-01-30,52,3.0,,0.03,1.56
30,2015-01-31,47,3.0,,0.03,1.41
31,2015-02-01,57,3.0,False,0.03,1.71
32,2015-02-02,52,3.0,,0.03,1.56
33,2015-02-03,59,3.0,,0.03,1.77
34,2015-02-04,54,3.0,,0.03,1.6199999999999999
35,2015-02-05,59,3.0,,0.03,1.77
36,2015-02-06,57,3.0,,0.03,1.71
37,2015-02-07,71,3.0,,0.03,2.13
38,2015-02-08,65,3.0,,0.03,1.95
39,2015-02-09,71,3.0,,0.03,2.13
40,2015-02-10,69,3.0,,0.03,2.07
41,2015-02-11,58,3.0,,0.03,1.74
42,2015-02-12,65,3.0,,0.03,1.95
43,2015-02-13,55,3.0,,0.03,1.65
44,2015-02-14,58,3.0,,0.03,1.74
45,2015-02-15,59,3.0,,0.03,1.77
46,2015-02-16,59,3.0,,0.03,1.77
47,2015-02-17,60,3.0,,0.03,1.7999999999999998
48,2015-02-18,57,3.0,,0.03,1.71
49,2015-02-19,62,3.0,,0.03,1.8599999999999999
50,2015-02-20,100,3.0,,0.03,3.0
51,2015-02-21,64,3.0,,0.03,1.92
52,2015-02-22,60,3.0,,0.03,1.7999999999999998
53,2015-02-23,59,3.0,,0.03,1.77
54,2015-02-24,56,3.0,,0.03,1.68
55,2015-02-25,53,3.0,,0.03,1.5899999999999999
56,2015-02-26,50,3.0,,0.03,1.5
57,2015-02-27,54,3.0,,0.03,1.6199999999999999
58,2015-02-28,49,3.0,,0.03,1.47
59,2015-03-01,76,3.0,False,0.03,2.28
60,2015-03-02,82,3.0,,0.03,2.46
61,2015-03-03,83,3.0,,0.03,2.4899999999999998
62,2015-03-04,83,3.0,,0.03,2.4899999999999998
63,2015-03-05,83,3.0,,0.03,2.4899999999999998
64,2015-03-06,100,3.0,,0.03,3.0
65,2015-03-07,100,3.0,,0.03,3.0
66,2015-03-08,84,3.0,,0.03,2.52
67,2015-03-09,83,3.0,,0.03,2.4899999999999998
68,2015-03-10,98,3.0,,0.03,2.94
69,2015-03-11,96,3.0,,0.03,2.88
70,2015-03-12,84,3.0,,0.03,2.52
71,2015-03-13,85,3.0,,0.03,2.55
72,2015-03-14,83,3.0,,0.03,2.4899999999999998
73,2015-03-15,80,3.0,,0.03,2.4
74,2015-03-16,85,3.0,,0.03,2.55
75,2015-03-17,82,3.0,,0.03,2.46
76,2015-03-18,96,3.0,,0.03,2.88
77,2015-03-19,95,3.0,,0.03,2.85
78,2015-03-20,78,3.0,,0.03,2.34
79,2015-03-21,75,3.0,,0.03,2.25
80,2015-03-22,76,3.0,,0.03,2.28
81,2015-03-23,79,3.0,,0.03,2.37
82,2015-03-24,78,3.0,,0.03,2.34
83,2015-03-25,90,3.0,,0.03,2.6999999999999997
84,2015-03-26,82,3.0,,0.03,2.46
85,2015-03-27,72,3.0,,0.03,2.16
86,2015-03-28,65,3.0,,0.03,1.95
87,2015-03-29,74,3.0,,0.03,2.2199999999999998
88,2015-03-30,93,3.0,,0.03,2.79
89,2015-03-31,80,3.0,,0.03,2.4
90,2015-04-01,99,2.0,False,0.02,1.98
91,2015-04-02,91,2.0,,0.02,1.82
92,2015-04-03,90,2.0,,0.02,1.8
93,2015-04-04,89,2.0,,0.02,1.78
94,2015-04-05,96,2.0,,0.02,1.92
95,2015-04-06,91,2.0,,0.02,1.82
96,2015-04-07,94,2.0,,0.02,1.8800000000000001
97,2015-04-08,100,2.0,,0.02,2.0
98,2015-04-09,97,2.0,,0.02,1.94
99,2015-04-10,93,2.0,,0.02,1.86
100,2015-04-11,83,2.0,,0.02,1.6600000000000001
101,2015-04-12,84,2.0,,0.02,1.68
102,2015-04-13,93,2.0,,0.02,1.86
103,2015-04-14,97,2.0,,0.02,1.94
104,2015-04-15,90,2.0,,0.02,1.8
105,2015-04-16,83,2.0,,0.02,1.6600000000000001
106,2015-04-17,85,2.0,,0.02,1.7
107,2015-04-18,85,2.0,,0.02,1.7
108,2015-04-19,89,2.0,,0.02,1.78
109,2015-04-20,86,2.0,,0.02,1.72
110,2015-04-21,95,2.0,,0.02,1.9000000000000001
111,2015-04-22,100,2.0,,0.02,2.0
112,2015-04-23,87,2.0,,0.02,1.74
113,2015-04-24,85,2.0,,0.02,1.7
114,2015-04-25,84,2.0,,0.02,1.68
115,2015-04-26,84,2.0,,0.02,1.68
116,2015-04-27,87,2.0,,0.02,1.74
117,2015-04-28,88,2.0,,0.02,1.76
118,2015-04-29,86,2.0,,0.02,1.72
119,2015-04-30,93,2.0,,0.02,1.86
120,2015-05-01,78,2.0,False,0.02,1.56
121,2015-05-02,67,2.0,,0.02,1.34
122,2015-05-03,70,2.0,,0.02,1.4000000000000001
123,2015-05-04,69,2.0,,0.02,1.3800000000000001
124,2015-05-05,71,2.0,,0.02,1.42
125,2015-05-06,80,2.0,,0.02,1.6
126,2015-05-07,74,2.0,,0.02,1.48
127,2015-05-08,76,2.0,,0.02,1.52
128,2015-05-09,68,2.0,,0.02,1.36
129,2015-05-10,68,2.0,,0.02,1.36
130,2015-05-11,73,2.0,,0.02,1.46
131,2015-05-12,73,2.0,,0.02,1.46
132,2015-05-13,81,2.0,,0.02,1.62
133,2015-05-14,100,2.0,,0.02,2.0
134,2015-05-15,75,2.0,,0.02,1.5
135,2015-05-16,76,2.0,,0.02,1.52
136,2015-05-17,75,2.0,,0.02,1.5
137,2015-05-18,74,2.0,,0.02,1.48
138,2015-05-19,80,2.0,,0.02,1.6
139,2015-05-20,88,2.0,,0.02,1.76
140,2015-05-21,83,2.0,,0.02,1.6600000000000001
141,2015-05-22,77,2.0,,0.02,1.54
142,2015-05-23,72,2.0,,0.02,1.44
143,2015-05-24,77,2.0,,0.02,1.54
144,2015-05-25,82,2.0,,0.02,1.6400000000000001
145,2015-05-26,78,2.0,,0.02,1.56
146,2015-05-27,79,2.0,,0.02,1.58
147,2015-05-28,68,2.0,,0.02,1.36
148,2015-05-29,82,2.0,,0.02,1.6400000000000001
149,2015-05-30,95,2.0,,0.02,1.9000000000000001
150,2015-05-31,88,2.0,,0.02,1.76
151,2015-06-01,52,2.0,False,0.02,1.04
152,2015-06-02,46,2.0,,0.02,0.92
153,2015-06-03,50,2.0,,0.02,1.0
154,2015-06-04,49,2.0,,0.02,0.98
155,2015-06-05,45,2.0,,0.02,0.9
156,2015-06-06,48,2.0,,0.02,0.96
157,2015-06-07,49,2.0,,0.02,0.98
158,2015-06-08,44,2.0,,0.02,0.88
159,2015-06-09,47,2.0,,0.02,0.9400000000000001
160,2015-06-10,47,2.0,,0.02,0.9400000000000001
161,2015-06-11,46,2.0,,0.02,0.92
162,2015-06-12,48,2.0,,0.02,0.96
163,2015-06-13,40,2.0,,0.02,0.8
164,2015-06-14,47,2.0,,0.02,0.9400000000000001
165,2015-06-15,47,2.0,,0.02,0.9400000000000001
166,2015-06-16,51,2.0,,0.02,1.02
167,2015-06-17,55,2.0,,0.02,1.1
168,2015-06-18,100,2.0,,0.02,2.0
169,2015-06-19,56,2.0,,0.02,1.12
170,2015-06-20,59,2.0,,0.02,1.18
171,2015-06-21,50,2.0,,0.02,1.0
172,2015-06-22,47,2.0,,0.02,0.9400000000000001
173,2015-06-23,49,2.0,,0.02,0.98
174,2015-06-24,48,2.0,,0.02,0.96
175,2015-06-25,52,2.0,,0.02,1.04
176,2015-06-26,47,2.0,,0.02,0.9400000000000001
177,2015-06-27,50,2.0,,0.02,1.0
178,2015-06-28,51,2.0,,0.02,1.02
179,2015-06-29,59,2.0,,0.02,1.18
180,2015-06-30,74,2.0,,0.02,1.48
181,2015-07-01,80,3.0,False,0.03,2.4
182,2015-07-02,79,3.0,,0.03,2.37
183,2015-07-03,79,3.0,,0.03,2.37
184,2015-07-04,84,3.0,,0.03,2.52
185,2015-07-05,86,3.0,,0.03,2.58
186,2015-07-06,100,3.0,,0.03,3.0
187,2015-07-07,89,3.0,,0.03,2.67
188,2015-07-08,95,3.0,,0.03,2.85
189,2015-07-09,87,3.0,,0.03,2.61
190,2015-07-10,95,3.0,,0.03,2.85
191,2015-07-11,83,3.0,,0.03,2.4899999999999998
192,2015-07-12,92,3.0,,0.03,2.76
193,2015-07-13,89,3.0,,0.03,2.67
194,2015-07-14,80,3.0,,0.03,2.4
195,2015-07-15,77,3.0,,0.03,2.31
196,2015-07-16,78,3.0,,0.03,2.34
197,2015-07-17,74,3.0,,0.03,2.2199999999999998
198,2015-07-18,77,3.0,,0.03,2.31
199,2015-07-19,77,3.0,,0.03,2.31
200,2015-07-20,78,3.0,,0.03,2.34
201,2015-07-21,78,3.0,,0.03,2.34
202,2015-07-22,74,3.0,,0.03,2.2199999999999998
203,2015-07-23,67,3.0,,0.03,2.01
204,2015-07-24,73,3.0,,0.03,2.19
205,2015-07-25,72,3.0,,0.03,2.16
206,2015-07-26,77,3.0,,0.03,2.31
207,2015-07-27,80,3.0,,0.03,2.4
208,2015-07-28,86,3.0,,0.03,2.58
209,2015-07-29,72,3.0,,0.03,2.16
210,2015-07-30,72,3.0,,0.03,2.16
211,2015-07-31,69,3.0,,0.03,2.07
212,2015-08-01,100,3.0,False,0.03,3.0
213,2015-08-02,77,3.0,,0.03,2.31
214,2015-08-03,73,3.0,,0.03,2.19
215,2015-08-04,72,3.0,,0.03,2.16
216,2015-08-05,65,3.0,,0.03,1.95
217,2015-08-06,60,3.0,,0.03,1.7999999999999998
218,2015-08-07,57,3.0,,0.03,1.71
219,2015-08-08,58,3.0,,0.03,1.74
220,2015-08-09,59,3.0,,0.03,1.77
221,2015-08-10,61,3.0,,0.03,1.8299999999999998
222,2015-08-11,63,3.0,,0.03,1.89
223,2015-08-12,61,3.0,,0.03,1.8299999999999998
224,2015-08-13,65,3.0,,0.03,1.95
225,2015-08-14,56,3.0,,0.03,1.68
226,2015-08-15,56,3.0,,0.03,1.68
227,2015-08-16,60,3.0,,0.03,1.7999999999999998
228,2015-08-17,61,3.0,,0.03,1.8299999999999998
229,2015-08-18,69,3.0,,0.03,2.07
230,2015-08-19,87,3.0,,0.03,2.61
231,2015-08-20,73,3.0,,0.03,2.19
232,2015-08-21,68,3.0,,0.03,2.04
233,2015-08-22,65,3.0,,0.03,1.95
234,2015-08-23,68,3.0,,0.03,2.04
235,2015-08-24,81,3.0,,0.03,2.4299999999999997
236,2015-08-25,84,3.0,,0.03,2.52
237,2015-08-26,67,3.0,,0.03,2.01
238,2015-08-27,62,3.0,,0.03,1.8599999999999999
239,2015-08-28,65,3.0,,0.03,1.95
240,2015-08-29,59,3.0,,0.03,1.77
241,2015-08-30,62,3.0,,0.03,1.8599999999999999
242,2015-08-31,58,3.0,,0.03,1.74
243,2015-09-01,90,2.0,False,0.02,1.8
244,2015-09-02,98,2.0,,0.02,1.96
245,2015-09-03,90,2.0,,0.02,1.8
246,2015-09-04,95,2.0,,0.02,1.9000000000000001
247,2015-09-05,88,2.0,,0.02,1.76
248,2015-09-06,87,2.0,,0.02,1.74
249,2015-09-07,86,2.0,,0.02,1.72
250,2015-09-08,91,2.0,,0.02,1.82
251,2015-09-09,96,2.0,,0.02,1.92
252,2015-09-10,86,2.0,,0.02,1.72
253,2015-09-11,84,2.0,,0.02,1.68
254,2015-09-12,92,2.0,,0.02,1.84
255,2015-09-13,96,2.0,,0.02,1.92
256,2015-09-14,96,2.0,,0.02,1.92
257,2015-09-15,87,2.0,,0.02,1.74
258,2015-09-16,99,2.0,,0.02,1.98
259,2015-09-17,96,2.0,,0.02,1.92
260,2015-09-18,100,2.0,,0.02,2.0
261,2015-09-19,84,2.0,,0.02,1.68
262,2015-09-20,90,2.0,,0.02,1.8
263,2015-09-21,91,2.0,,0.02,1.82
264,2015-09-22,98,2.0,,0.02,1.96
265,2015-09-23,99,2.0,,0.02,1.98
266,2015-09-24,89,2.0,,0.02,1.78
267,2015-09-25,96,2.0,,0.02,1.92
268,2015-09-26,89,2.0,,0.02,1.78
269,2015-09-27,91,2.0,,0.02,1.82
270,2015-09-28,88,2.0,,0.02,1.76
271,2015-09-29,90,2.0,,0.02,1.8
272,2015-09-30,93,2.0,,0.02,1.86
273,2015-10-01,62,3.0,False,0.03,1.8599999999999999
274,2015-10-02,64,3.0,,0.03,1.92
275,2015-10-03,61,3.0,,0.03,1.8299999999999998
276,2015-10-04,59,3.0,,0.03,1.77
277,2015-10-05,65,3.0,,0.03,1.95
278,2015-10-06,72,3.0,,0.03,2.16
279,2015-10-07,65,3.0,,0.03,1.95
280,2015-10-08,71,3.0,,0.03,2.13
281,2015-10-09,63,3.0,,0.03,1.89
282,2015-10-10,65,3.0,,0.03,1.95
283,2015-10-11,62,3.0,,0.03,1.8599999999999999
284,2015-10-12,66,3.0,,0.03,1.98
285,2015-10-13,66,3.0,,0.03,1.98
286,2015-10-14,62,3.0,,0.03,1.8599999999999999
287,2015-10-15,65,3.0,,0.03,1.95
288,2015-10-16,69,3.0,,0.03,2.07
289,2015-10-17,70,3.0,,0.03,2.1
290,2015-10-18,67,3.0,,0.03,2.01
291,2015-10-19,66,3.0,,0.03,1.98
292,2015-10-20,78,3.0,,0.03,2.34
293,2015-10-21,76,3.0,,0.03,2.28
294,2015-10-22,87,3.0,,0.03,2.61
295,2015-10-23,76,3.0,,0.03,2.28
296,2015-10-24,74,3.0,,0.03,2.2199999999999998
297,2015-10-25,74,3.0,,0.03,2.2199999999999998
298,2015-10-26,80,3.0,,0.03,2.4
299,2015-10-27,86,3.0,,0.03,2.58
300,2015-10-28,86,3.0,,0.03,2.58
301,2015-10-29,98,3.0,,0.03,2.94
302,2015-10-30,100,3.0,,0.03,3.0
303,2015-10-31,85,3.0,,0.03,2.55
304,2015-11-01,47,3.0,False,0.03,1.41
305,2015-11-02,51,3.0,,0.03,1.53
306,2015-11-03,73,3.0,,0.03,2.19
307,2015-11-04,100,3.0,,0.03,3.0
308,2015-11-05,88,3.0,,0.03,2.6399999999999997
309,2015-11-06,63,3.0,,0.03,1.89
310,2015-11-07,53,3.0,,0.03,1.5899999999999999
311,2015-11-08,47,3.0,,0.03,1.41
312,2015-11-09,56,3.0,,0.03,1.68
313,2015-11-10,52,3.0,,0.03,1.56
314,2015-11-11,48,3.0,,0.03,1.44
315,2015-11-12,45,3.0,,0.03,1.3499999999999999
316,2015-11-13,45,3.0,,0.03,1.3499999999999999
317,2015-11-14,36,3.0,,0.03,1.08
318,2015-11-15,37,3.0,,0.03,1.1099999999999999
319,2015-11-16,39,3.0,,0.03,1.17
320,2015-11-17,44,3.0,,0.03,1.3199999999999998
321,2015-11-18,42,3.0,,0.03,1.26
322,2015-11-19,40,3.0,,0.03,1.2
323,2015-11-20,43,3.0,,0.03,1.29
324,2015-11-21,43,3.0,,0.03,1.29
325,2015-11-22,38,3.0,,0.03,1.14
326,2015-11-23,40,3.0,,0.03,1.2
327,2015-11-24,40,3.0,,0.03,1.2
328,2015-11-25,38,3.0,,0.03,1.14
329,2015-11-26,42,3.0,,0.03,1.26
330,2015-11-27,38,3.0,,0.03,1.14
331,2015-11-28,36,3.0,,0.03,1.08
332,2015-11-29,37,3.0,,0.03,1.1099999999999999
333,2015-11-30,44,3.0,,0.03,1.3199999999999998
334,2015-12-01,40,3.0,False,0.03,1.2
335,2015-12-02,42,3.0,,0.03,1.26
336,2015-12-03,39,3.0,,0.03,1.17
337,2015-12-04,36,3.0,,0.03,1.08
338,2015-12-05,36,3.0,,0.03,1.08
339,2015-12-06,38,3.0,,0.03,1.14
340,2015-12-07,40,3.0,,0.03,1.2
341,2015-12-08,52,3.0,,0.03,1.56
342,2015-12-09,100,3.0,,0.03,3.0
343,2015-12-10,72,3.0,,0.03,2.16
344,2015-12-11,58,3.0,,0.03,1.74
345,2015-12-12,52,3.0,,0.03,1.56
346,2015-12-13,47,3.0,,0.03,1.41
