week,year,bitcoin
1,2015,6.72
2,2015,12.51
3,2015,14.31
4,2015,11.22
5,2015,12.6
6,2015,12.51
7,2015,13.049999999999999
8,2015,13.86
9,2015,11.91
10,2015,18.45
11,2015,18.27
12,2015,17.61
13,2015,16.2
14,2015,14.49
15,2015,12.84
16,2015,12.44
17,2015,12.42
18,2015,11.38
19,2015,10.120000000000001
20,2015,11.06
21,2015,11.02
22,2015,11.44
23,2015,6.78
24,2015,6.38
25,2015,8.36
26,2015,6.88
27,2015,14.9
28,2015,19.23
29,2015,16.56
30,2015,15.57
31,2015,16.68
32,2015,13.32
33,2015,12.66
34,2015,14.73
35,2015,14.4
36,2015,12.7
37,2015,12.62
38,2015,13.04
39,2015,13.06
40,2015,12.8
41,2015,13.89
42,2015,13.95
43,2015,15.93
44,2015,17.46
45,2015,14.25
46,2015,9.57
47,2015,8.67
48,2015,8.129999999999999
49,2015,8.25
50,2015,12.629999999999999
51,2015,9.45
52,2015,8.82
53,2015,10.83
1,2016,15.809999999999999
2,2016,17.19
3,2016,17.1
4,2016,14.97
5,2016,16.02
6,2016,16.77
7,2016,19.23
8,2016,17.43
9,2016,18.45
10,2016,17.37
11,2016,17.13
12,2016,16.56
13,2016,16.44
14,2016,16.169999999999998
15,2016,15.54
16,2016,16.89
17,2016,16.86
18,2016,10.74
19,2016,6.8100000000000005
20,2016,6.39
21,2016,7.2
22,2016,16.380000000000003
23,2016,19.6
24,2016,27.35
25,2016,26.5
26,2016,18.830000000000002
27,2016,16.14
28,2016,13.41
29,2016,12.120000000000001
30,2016,12.0
31,2016,12.39
32,2016,8.85
33,2016,8.34
34,2016,8.58
35,2016,14.25
36,2016,19.38
37,2016,19.14
38,2016,18.9
39,2016,16.5
40,2016,14.04
41,2016,15.27
42,2016,14.58
43,2016,17.189999999999998
44,2016,20.24
45,2016,20.36
46,2016,20.8
47,2016,20.36
48,2016,20.5
49,2016,20.3
50,2016,19.75
51,2016,27.200000000000003
52,2016,29.19
1,2017,38.36000000000001
2,2017,29.680000000000003
3,2017,23.03
4,2017,21.07
5,2017,27.17
6,2017,29.34
7,2017,27.06
8,2017,33.48
9,2017,36.440000000000005
10,2017,39.970000000000006
11,2017,35.42
12,2017,33.6
13,2017,31.570000000000004
14,2017,35.519999999999996
15,2017,34.62
16,2017,34.86
17,2017,39.0
18,2017,27.45
19,2017,35.7
20,2017,40.8
21,2017,73.35
22,2017,56.38
23,2017,71.68
24,2017,77.0
25,2017,60.2
26,2017,67.24000000000001
27,2017,60.970000000000006
28,2017,72.28
29,2017,73.97
30,2017,69.94
31,2017,87.26
32,2017,87.4
33,2017,112.60000000000001
34,2017,90.0
35,2017,95.27
36,2017,83.79
37,2017,103.32000000000001
38,2017,72.66
39,2017,61.96
40,2017,63.800000000000004
41,2017,105.16
42,2017,108.24
43,2017,108.9
44,2017,103.86
45,2017,98.1
46,2017,91.8
47,2017,94.5
48,2017,234.9
49,2017,430.0
50,2017,364.0
51,2017,434.0
52,2017,261.0
1,2018,195.44
2,2018,185.92000000000002
3,2018,231.28000000000003
4,2018,153.44
5,2018,155.86
6,2018,169.32999999999998
7,2018,100.03999999999999
